Subclass	Order	Species	BMR (mlO2/hour)	Body mass for BMR (gr)	Reference for BMR	FMR (kJ/day)	Body mass for FMR (gr)	Reference for FMR
Eutheria	Chiroptera	Diphylla ecaudata	38.642	27.8	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Dobsonia minor	74.4	73.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Dobsonia moluccensis	367.9	404.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Dobsonia praedatrix	142.5	179.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Eonycteris spelaea	48	51.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Eptesicus fuscus	20.8	10.4	White et al06BiolLett	43.6	20.8	Nagy et al99
Eutheria	Chiroptera	Erophylla bombifrons (Erophylla sezekorni)	17.71	16.1	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Eumops perotis	39.76	56	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Glossophaga commissarisi	-9999	-9999	-9999	45.7	8.7	Voigt et al 2006
Eutheria	Chiroptera	Glossophaga sorcina	29.376	9.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Hipposideros galeritus	9.35	8.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Histiotus velatus	15.68	11.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Koopmania concolor (Artibeus concolor)	39.794	19.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Leptonycteris yerbabuenae (Leptonycteris curasoae)	44	22	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Macroderma gigas	139.12	148	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Macroglossus minimus	18.5	15.85	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Macrotus californicus	14.625	11.7	White et al06BiolLett	21.5	13	Nagy et al99
Eutheria	Chiroptera	Megaloglossus woermanni	18.5	12.4	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Melonycteris melanops	43.3	53.3	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Miniopterus australis	94.336	107.2	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Miniopterus schreibersi	25.9658	10.91	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Molossus molossus	22.464	15.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Monophyllus redmani	11.136	8.7	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Mormoops blainvilli	7.998	8.6	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Mormoops megalophylla	24.42	16.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Myotis lucifugus	8.918	5.2	White et al06BiolLett	29.9	9	Nagy et al99
Eutheria	Chiroptera	Myotis nigricans	8.9	3.7	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Natalus tumidirostris	8.316	5.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Noctilio albiventris	31.59	27	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Noctilio leporinus	70.76	61	White et al06BiolLett	-9999	-9999	-9999
